order,author,Book_name,recommend,Reading_people,info,cover
14,莫言,生死疲劳,89.8%,8305,这是一部中国乡村社会的庞杂喧哗、充满苦难的蜕变历史，也是莫言在艺术上向中国古典章回体小说和民间叙事的伟大传统致敬的鸿篇巨制。《生死疲劳》是莫言以寓言的方式观照历史、借荒诞的想象书写现实，从而讲述一个农民家族半个多世纪以来悲欢离合、兴衰演变的长篇巨著。在小说中，被冤杀的地主西门闹经历了六道轮回，变成驴、牛、猪、狗、猴，最终又转世为一个大头婴儿，滔滔不绝地讲述着自己每一世的离奇经历。小说通过六道轮回的想象跨越生与死，悲悯着历史变迁之中无常的命运，也歌颂着生存于这片土地上的农民们世代相继、生生不息的执着生命力。亚洲周刊“2006年十大好书”，中国小说学会“2006年度小说排行榜”榜首，2008年香港浸会大学“世界华文长篇小说奖‘红楼梦奖’首奖。,https://wfqqreader-1252317822.image.myqcloud.com/cover/427/26435427/t6_26435427.jpg
15,毛姆,人性的枷锁,89.4%,2400,《人性的枷锁》是毛姆具有自传性质的经典作品，也被认为是首屈一指、流传甚广的重要代表作。和《月亮和六便士》《面纱》《刀锋》一道，奠定毛姆“故事圣手”基础和文学史独特地位。故事以毛姆亲身经历为蓝本，描述了身有残疾的主人公菲利普从孤儿到长大的完整过程，亲情、爱情、友情，校园、艺术、理想，在重重枷锁中，苦寻自由而难得，最终发现这都是人性的本来面目。是否能摆脱这人性的枷锁？什么是长大，什么是成熟？答案在风中飘，带着笑和泪。,https://wfqqreader-1252317822.image.myqcloud.com/cover/681/825681/t6_825681.jpg
16,常书欣,余罪：我的刑侦笔记（共11册）,87.6%,3000,本书为您揭开的是一张令人触目惊心的当下社会犯罪网络。从混迹人群中的扒手，到躲在深山老林里的悍匪，从横行街头的流氓，到逡巡在海岸线边缘的毒枭；他们似乎离我们很远，似乎又很近，看似悄无声息，却又如影随形；作者所描写的，正是这个光怪陆离而又真实存在的地下世界。警校学员余罪，在通过一次意外的选拔之后，被丢进了一间住满凶神恶煞的罪犯的牢房，他迅速发现，要在这个凶险万状的环境中活下来，自己必须比毒贩更奸诈，比窃贼更狡猾，比匪徒更残忍。他不仅要用罪犯的思维去理解犯罪，还要用罪犯的手段去对抗犯罪，更要和罪犯一样突破种种底线。,https://wfqqreader-1252317822.image.myqcloud.com/cover/969/818969/t6_818969.jpg
17,刘震云,一句顶一万句（典藏版）,87.3%,2246,本书是著名作家刘震云先生参磨四年的扛鼎之作。被北京五大评论家誉为“中国的《百年孤独》（诺贝尔获奖作家马尔克斯的作品）”，是刘震云迄今为止最成熟最大气的作品。这部小说洗尽铅华，返璞归真，笔触始终紧贴苦难的大地和贱如草芥的底层人群，结构单纯而内容丰富，命悬一丝而荡气回肠，主人公常常走投无路而又一直勇往直前。这是当代文坛敢于直面真实的不可多得的佳作。著名评论家张颐武说，该书是刘震云“最具企图心和想象力的作品，也是他超越自我的最为坚韧的努力的成果。”我们认为该书是刘震云作品中唯一可以获奖也可以留存文学史的畅销和长销的作品。,https://wfqqreader-1252317822.image.myqcloud.com/cover/835/934835/t6_934835.jpg
18,莫言,丰乳肥臀,82.9%,4140,诺贝尔文学奖评委会认可的代表作，华语文学传媒大奖·年度杰出成就奖，首届《大家》文学奖。莫言最庞大、最丰满的小说，记录百年中国风云变幻的恢宏“史诗”。经由一双婴儿的眼睛，目睹一个家族亲历的战争、贫穷、革命、荒淫。有爱有欲，有生有死，有人性的愚昧、贪婪，也有人情的温暖、博爱。一切无情，一切有情，一切疯癫——用一个故事看懂中国。,https://wfqqreader-1252317822.image.myqcloud.com/cover/797/26447797/t6_26447797.jpg
19,中共中央文献研究室,毛泽东传（全6卷）,90.9%,5510,本书的主要依据是中央档案馆保存的毛泽东同志的文稿、电报、书信、讲话记录和他所参加会议的大量记录；同时，参考了同毛泽东同志有过直接接触的同志的访问记录、回忆录和当时的报刊资料。力求根据丰富而可靠的第一手资料，写出比较翔实的信史。,https://wfqqreader-1252317822.image.myqcloud.com/cover/906/23640906/t6_23640906.jpg
20,唐浩明,曾国藩：唐浩明修订版（全集）,88.8%,1687,修订老版讹误106处！一字未删，原貌呈现手稿！唐浩明独家作序认可版本！阅读收藏最佳版本！政商必读！最受中央国家机关干部欢迎的10本书之一，中纪委“读书推荐”栏目推荐学习。柳传志、宗庆后、白岩松鼎力推荐！历史小说巅峰之作，关于曾国藩最权威、最好看、最畅销的读本。了解千古名臣曾国藩的唯一经典，读懂国人处世智慧的殿堂之作。依据人民文学出版社三卷本《曾国藩》编校而成，全新修订原貌呈现。,https://wfqqreader-1252317822.image.myqcloud.com/cover/288/534288/t6_534288.jpg
41,罗伯特·戴博德,蛤蟆先生去看心理医生,89.7%,10418,蛤蟆先生一向爱笑爱闹，如今却一反常态地郁郁寡欢。他一个人躲在屋里，连起床梳洗的力气都没有。朋友们非常担心他，建议他去做心理咨询。在10次心理咨询中，蛤蟆在咨询师苍鹭的带领下，勇敢地探索了自己的内心世界，也逐渐找回了信心与希望……为了向大众读者普及心理学知识，作者借用了英国文学经典《柳林风声》的故事主角，让蛤蟆先生和他的朋友们再次登场，演绎了这个关于心理咨询的故事。读者犹如亲临现场，体验心理咨询的每一个细节，见证疗愈和改变的发生。作者借由蛤蟆和心理咨询师苍鹭的互动，探索了蛤蟆自卑、软弱、爱炫耀的个性与抑郁的情绪究竟来源于何处，以及如何才能在心理上真正长大成人，独立、自信、充满希望地生活。,https://wfqqreader-1252317822.image.myqcloud.com/cover/88/35551088/t6_35551088.jpg
42,岸见一郎 古贺史健,被讨厌的勇气：“自我启发之父”阿德勒的哲学课,85.8%,16052,一名深陷自卑、无能与不幸福的青年，听到了一名哲人主张的“世界无比单纯，人人都能幸福”便来挑战，两人展开了你来我往的思考和辩论，在一夜一夜过去后，青年开始思考，为什么“所谓的自由，就是被别人讨厌”？问题不在于世界是什么样子，在于你是什么样子。,https://wfqqreader-1252317822.image.myqcloud.com/cover/385/25615385/t6_25615385.jpg
43,顾漫,你是我的荣耀（杨洋、迪丽热巴主演）,89.5%,726,同名电视剧2021年7月26日腾讯视频独播。十年过去，乔晶晶意外的星光闪耀，高中拒绝过她的男神却似乎已经泯然众人……时光匆匆，你依旧在我心中闪耀，我是否也能成为你的荣耀？是乔晶晶。高考一别以来，他们已经有十年没见了。或者这么说也不对，其实他到处可以见到她，在各种新闻媒体、各种大小屏幕，甚至地铁广告、公车站牌上，处处都有她的身影。看着不远处那个朝他盈然而笑的女子，于途不能免俗地恍惚地觉得——他大概遇见了一个奇遇。乔晶晶也在看着于途，她想，有句话，很流行的，怎么说来着。哦，好像是——归来仍是少年。她在滚滚红尘中奔波名利，而这个人却一如既往，眼神清澈。,https://wfqqreader-1252317822.image.myqcloud.com/cover/8/25878008/t6_25878008.jpg
44,史铁生,我与地坛,88.4%,1724,要是有些事我没说，地坛，你别以为是我忘了，我什么也没忘；但是有些事只适合收藏，不能说，不能想，却又不能忘。《我与地坛》是史铁生文学作品中，充满哲思又极为人性化的代表作之一。其前两段被纳入人民教育出版社的高一教材中。前两部分注重讲地坛和他与母亲的后悔，对中学生来说，这是一篇令人反思的优秀文章。,https://wfqqreader-1252317822.image.myqcloud.com/cover/44/674044/t6_674044.jpg
45,张嘉佳,云边有个小卖部,85.8%,3595,张嘉佳全新作品。畅销千万现象级作品《从你的全世界路过》后，暌违五年，写给离开我们的人，写给陪伴我们的人，写给每个人心中的山和海。希望和悲伤，都是一缕光。总有一天，我们会再相遇。,https://wfqqreader-1252317822.image.myqcloud.com/cover/558/23233558/t6_23233558.jpg
46,黄仁宇,万历十五年（精装版）,83.9%,2042,热播反腐剧《人民的名义》多次提到《万历十五年》，为什么这么多人研究这本书呢？此书是美籍华裔历史学家黄仁宇先生的成名之作，也是他的代表作之一，融会黄先生数十年人生经验与治学体会与一体，首次以“大历史观”分析明代社会之症结，观察现代中国之来路，发人深思。书名虽为万历十五年，然而其内容却俯瞰了整个明朝的兴衰，并且告诉我们与以往历史书中不同的海瑞、张居正……读黄仁宇的书，你会深刻体会“历史给人以智慧”。这是一部打开中国人视野的经典之作，被誉为“像一道匕首，撕开了由意识形态统治历史写作的铁幕”。史景迁、牟复礼、杨联陞、刘志琴、陈学霖、赵世瑜、朱学勤、杨念群、江晓原、萧功秦、商传、樊树志、毛佩琦、厄普代克、王小波、王朔、谢冕、易中天、吴思等国内外众多名家一致推荐！,https://wfqqreader-1252317822.image.myqcloud.com/cover/995/840995/t6_840995.jpg
47,张纯如,南京大屠杀,96.0%,969,1937年12月，日军攻入中国古都南京。几周之内，30多万中国平民和士兵遭到有计划地强暴、折磨和屠杀——死亡人数超过广岛和长崎原子弹爆炸遇难人数的总和。 张纯如不仅在书中详述了日军疯狂暴行的细节，而且分析了在军国主义文化背景下成长起来的日本士兵对人类生命的漠视。张纯如对南京大屠杀的幸存者进行了大量采访，并首次发掘了许多重要文献。全书先是从日本士兵、军官为什么完全脱离了人类基本的行为规范，日本学校和教科书从心理层面向学生灌输对中国人民的仇恨和蔑视，以及高度军事化的教育体制等多个方面阐述了南京大屠杀发生的根源性原因。,https://wfqqreader-1252317822.image.myqcloud.com/cover/151/718151/t6_718151.jpg
48,老舍,骆驼祥子,89.0%,640,本书叙述了一名年轻好强、充满生命活力的人力车夫，希望以个人的奋斗改变自己卑贱地位的故事。小说突出地表现了作家对于城市贫民的真挚同情和深刻理解，是20世纪30年代中国优秀的作品之一，也是现代中国杰出的长篇小说之一，成为老舍的主要代表作，它奠定了老舍在中国现代文学史上的重要地位。20世纪40年代《骆驼祥子》被译成英文以后，也赢得了外国读者的喜爱。,https://wfqqreader-1252317822.image.myqcloud.com/cover/727/22910727/t6_22910727.jpg
49,刘慈欣,三体前传：球状闪电,88.8%,950,没有《球状闪电》，就没有后来的《三体》！《三体》前传！亚洲首位雨果奖得主刘慈欣的三大长篇之一！（《三体》《球状闪电》《超新星纪元》）《球状闪电》拥有最狂野的想象力！带你从另一个维度观察世界！全面展现刘慈欣对人生的终极思考！《三体》中解决可控核聚变的顶级物理学家丁仪，正是《球状闪电》中找到球状闪电的关键人物。《三体》中一号面壁人的幽灵军队计划，正是来自于《球状闪电》。《球状闪电》中的疑似宇宙观察者，为《三体》中的智子出现铺陈了线索。《球状闪电》和《三体》是刘慈欣两个不同时期的巅峰之作，《球状闪电》是他对人生的终极思考，《三体》则是他对宇宙的终极思考。过一个美妙的人生并不难，关键在于你迷上的是什么。某个离奇的雨夜，一颗球状闪电在一瞬间将少年的父母化为灰烬，而他们身下的板凳却分毫无损。从此少年踏上了研究球状闪电的旅程，死亡者的幽灵笔迹、前苏联的地下科技城、次世代的世界大战……球状闪电意外成为了战争中决定祖国存亡的终极武器！一个从未有人想像过的未来，在宇宙观察者的注视下，悄然降临在人类面前……,https://wfqqreader-1252317822.image.myqcloud.com/cover/39/25504039/t6_25504039.jpg
50,林奕含,房思琪的初恋乐园（精编版）,92.1%,2754,补习班国文名师李国华是同一栋高级住宅的邻居，崇拜文学的房思琪同样崇拜饱读诗书的李老师。怡婷是思琪的同龄伙伴，童年对爱情的向往移情到老师身上，嫉妒便横亘在她们之间。当李国华被思琪、怡婷视为可亲可敬的老师时，李国华却将尽心竭力购置的书架、四处搜罗的小说作为其助演的道具。在他的侵犯下，思琪饱受恐惧和折磨，偷偷暗示父母李国华的所作所为，父母却相信为人师表的外人。思琪把她的遭遇当成别人的事情讲给父母听，父母却说这女孩这么小年纪就很“骚”。怡婷目睹思琪南辕北辙，但她不知思琪承受的羞耻和屈辱正是来自这位“讲台权杖”的压榨。这些隐秘，直到房思琪在山中发疯，并被送入精神病院，怡婷翻开思琪的日记才揭晓。,https://wfqqreader-1252317822.image.myqcloud.com/cover/126/32206126/t6_32206126.jpg
51,天然,生活蒙太奇,92.4%,1027,《生活蒙太奇》是一部充满奇妙质感的绘本作品，每天都有无数年轻人转发或评论它的精彩画面或动图。#生活蒙太奇#在全球社交媒体上有超过1345万以上的话题阅读（包括但不限于新浪微博、Instagram等），关于静下来，看见平凡生活的美好，治愈自己，以及重新出发。《生活蒙太奇》的作者天然是一位从三岁开始专心画画的年轻女孩。那些在普通人看来平淡无奇的日子：晒在午后三点的阳光下，雨天一个人读书，抬头遇见初雪……作者把这些单独静止的画面，通过独特想象力和洞察力的艺术加工，画成可以阅读的，充满故事感的连续绘画作品，仿佛一部生活电影的蒙太奇（通过对生活片段的拼接，产生独特意义）。读者静下心来读一读，会从画面故事里得到一种前所未见的生活平静之美和细节之美。,https://wfqqreader-1252317822.image.myqcloud.com/cover/727/33514727/t6_33514727.jpg
52,莫言,晚熟的人（莫言诺奖后首部作品）,88.0%,1933,从《红高粱》到《晚熟的人》，从历史深处到当下现实，从开天辟地到气象万千。依然是读者熟悉的那个莫言，却带给我们陌生惊喜的阅读体验。本书收录了诺贝尔文学奖得主莫言全新创作的中短篇小说12篇，都是莫言说给大家的“新故事”，依然取材自“故乡人事”，但面貌全新——聚焦当下，融入对于时代新生问题的观察与思考。12个故事篇幅紧凑，却各有曲直，新鲜的、骁勇的、星罗棋布的叙述里塑造了一系列“应时而变”的人物，他们像是从我们身边走出来的人，健步如飞，从小说的这头一直奔跑到小说的那一头，从红高粱的历史来到红唇绿嘴的当下。阅读莫言总是刺激的，他的小说世界立体而完整，最终的结果总让我们大惊失色。,https://wfqqreader-1252317822.image.myqcloud.com/cover/242/37045242/t6_37045242.jpg
53,费孝通,乡土中国,84.8%,1685,费孝通最知名的社会学著作之一，多年来深受学界和普通读者的一致推崇！如果说《江村经济》侧重讨论社会制度变革，那么《乡土中国》则在探讨与之相匹配的社会道德。这是费孝通对中国进行社会结构分析的尝试，他试图在理论上总结并开导实地研究，以构建中国社会特有的乡土伦理体系。沿着作者的思路，可以一窥中国的基层社会。虽然时移世易，但作者透视社会的眼光、观察社会的方法，在今天仍值得借鉴。,https://wfqqreader-1252317822.image.myqcloud.com/cover/366/651366/t6_651366.jpg
54,金鱼酱,人间告白,90.1%,1700,“哪怕只有一天，我也要推着轮椅上的小忽去海边看一次日出，陪小忽吃一顿午餐，也要带花生来抱一抱小忽……哪怕只有一天，我也要创造机会，和他多留下一点美好的回忆。如此，每多出来的一天，就是我们赚到的幸福。这样想想，生活又充满期待和念想了。”小忽正当壮年罹患癌症，留下儿子花生和妻子金鱼酱独自行走在人间。金鱼酱一笔一划记录下抗癌路上的真实故事，温暖而刺痛，绝望又坚强。等花生长大，就拿给他看。,https://wfqqreader-1252317822.image.myqcloud.com/cover/666/31617666/t6_31617666.jpg
55,陈磊·半小时漫画团队,半小时漫画经济学系列（共4册）（独家定制版）,82.2%,828,全网1300万粉丝的漫画式科普开创者陈磊（混子哥）及其团队继《半小时漫画中国史》《半小时漫画唐诗》系列之后推出的又一科普大作！用特别有趣的方式，讲清楚特别艰深的经济学原理！零基础搞懂九大理财方式的原理、优点及风险，理财不再盲目选！用历史上著名的金融危机事件抖包袱，一目了然地展现经济发展规律：石油危机、黑色星期一、亚洲金融风暴、次贷危机、做空……通过手绘漫画和段子，将经济学与现实生活中安身立命的问题相结合,https://wfqqreader-1252317822.image.myqcloud.com/cover/836/26629836/t6_26629836.jpg
56,阿图·葛文德,最好的告别：关于衰老与死亡，你必须知道的常识,86.6%,1234,当独立、自助的生活不能再维持时，我们该怎么办？在生命临近终点的时刻，我们该和医生谈些什么？应该如何优雅地跨越生命的终点？对于这些问题，大多数人缺少清晰的观念，而只是把命运交由医学、技术和陌生人来掌控。影响世界的医生阿图·葛文德结合其多年的外科医生经验与流畅的文笔，讲述了一个个伤感而发人深省的故事，对在21世纪变老意味着什么进行了清醒、深入的探索。本书富有洞见、感人至深，并为我们提供了实用的路线图，告诉我们为了使生命最后的岁月有意义，我们可以做什么、应该做什么。 作者选择了常人往往不愿面对的话题——衰老与死亡，梳理了美国社会养老的方方面面和发展历程，以及医学界对末期病人的不当处置。书中不只讲述了死亡和医药的局限，也揭示了如何自主、快乐、拥有尊严地活到生命的终点。书中对“善终服务”“辅助生活”“生前预嘱”等一系列作者推崇的理念，都穿插在故事中作出了详尽的说明，相信会给老龄化日益加剧的中国社会以启迪。 众多专家、媒体推荐。创新工场CEO李开复：作为一名医生，阿图·葛文德关注的是医疗的局限以及人的尊严。作为凡人，我们都将面对人生的终点，《最好的告别》给我们重要的启示。《新知》杂志主编苗炜：希望大家有机会能看看阿图·葛文德医生的著作，他能帮助我们更好地理解医学，知道医学的局限和可能。畅销书作家马尔科姆·格拉德威尔：这是阿图·葛文德最有力，也最感人的一本书。《自然》杂志：难得读到这样一本发人深省的书。,https://wfqqreader-1252317822.image.myqcloud.com/cover/126/695126/t6_695126.jpg
57,林海音,城南旧事,85.0%,673,《城南旧事》是林海音的经典自传体小说。小说以细腻、率真的文笔，通过英子童稚的双眼，观看大人世界的喜怒哀乐、悲欢离合，淡淡的哀愁与沉沉的相思感染了一代又一代读者。这既是作者童年生活的写照，又是当时北京平民生活与民俗旧貌的写真。该书被《亚洲周刊》评选为“二十世纪中文小说一百强”，入选教育部语文新课标推荐书目，其中篇目多次入选中小学语文课本，被翻译成日文、英文、德文、法文、意大利文等多国文字。,https://wfqqreader-1252317822.image.myqcloud.com/cover/223/839223/t6_839223.jpg
58,小川糸,山茶文具店,82.2%,1870,在镰仓，有一家帮人代笔的文具店，每代店主均由女性担任，只要有委托便会接受，即使是餐厅的菜单也会帮忙。不知不觉间，雨宫鸠子成为了第11代传人，而与外祖母之间的误会，以及开始独自一人活在世上的恐惧，使她充满迷茫。给死去宠物的吊唁信、宣布离婚的公告信、拒绝借钱的回绝信、写给挚友的分手信……一封封代笔信是客人们的写实生活，也是一节节人生的课堂。,https://wfqqreader-1252317822.image.myqcloud.com/cover/966/22523966/t6_22523966.jpg
59,金一南,为什么是中国,90.9%,1309,金一南将军全新著作，以广阔全面的视野、一以贯之的犀利文笔、磅礴激昂的气势，向读者生动客观地阐述了中国从百年沧桑到民族复兴的辉煌道路。全书以历史为脉络，将从甲午中日战争至21世纪世界新格局形成之间的历史事件为研究材料，寻道问路，深入分析近现代初期破碎山河中的世道人心、岐路惶恐间的挣扎徘徊，解读阐释共产党人的伟大历史自觉、抗战胜利的能量密码，鸟瞰钩沉中国崛起征途中的较量，理性瞻望改革强军的挑战与机遇、世界格局的未来走向。,https://wfqqreader-1252317822.image.myqcloud.com/cover/991/37335991/t6_37335991.jpg
